split,prescreen,custom database creation,database index,nucleotide alignment,translated alignment,computing gene families,computing pathways,translated1,translated2
100,0,9,0,0,3643,23,141,80.0,3561.0
200,0,9,0,0,3524,27,151,77.0,3446.0
500,0,9,0,0,3479,27,147,68.0,3410.0
1000,0,9,0,0,3466,24,159,66.0,3398.0
15000,0,9,0,0,3297,22,139,82.0,3214.0
25000,0,9,0,0,3207,23,141,84.0,3122.0
30000,0,9,0,0,3297,24,140,93.0,3202.0
35000,0,9,0,0,3312,27,144,82.0,3228.0
40000,0,9,0,0,3077,28,154,75.0,3001.0
60000,0,238558,0,0,2857,21,128,91.0,2765.0
70000,0,9,0,0,2783,23,136,87.0,2696.0
80000,0,9,0,0,2787,22,134,94.0,2692.0
90000,0,9,0,0,2752,21,134,88.0,2664.0
100000,0,9,0,0,2764,22,134,102.0,2661.0
110000,0,9,0,0,2739,22,134,96.0,2643.0
120000,0,9,0,0,2736,21,135,102.0,2633.0
130000,0,9,0,0,2693,22,133,101.0,2591.0
140000,0,9,0,0,2821,21,136,103.0,2718.0
150000,0,9,0,0,2685,22,133,114.0,2571.0
160000,0,9,0,0,2771,21,135,109.0,2661.0
170000,0,9,0,0,2673,22,134,109.0,2563.0
180000,0,9,0,0,2705,21,134,118.0,2586.0
190000,0,9,0,0,2698,22,134,109.0,2589.0
200000,0,9,0,0,2646,22,134,110.0,2535.0
210000,0,9,0,0,2633,22,134,118.0,2515.0
220000,0,9,0,0,2557,21,134,107.0,2449.0
230000,0,9,0,0,2581,22,134,114.0,2467.0
240000,0,9,0,0,2613,22,134,119.0,2494.0
250000,0,9,0,0,2587,22,133,133.0,2453.0
260000,0,9,0,0,2623,22,133,132.0,2491.0
270000,0,9,0,0,2620,21,136,125.0,2494.0
280000,0,9,0,0,2641,22,148,123.0,2518.0
290000,0,9,0,0,2676,22,139,134.0,2541.0
300000,0,9,0,0,2599,22,134,126.0,2472.0
310000,0,9,0,0,2577,21,136,128.0,2449.0
320000,0,9,0,0,2478,21,134,119.0,2359.0
330000,0,9,0,0,2762,21,136,131.0,2632.0
340000,0,9,0,0,2652,21,136,130.0,2522.0
350000,0,9,0,0,2595,21,134,135.0,2460.0
360000,0,9,0,0,2552,22,135,125.0,2426.0
370000,0,9,0,0,2464,23,137,124.0,2339.0
380000,0,9,0,0,2503,22,137,130.0,2372.0
